Model,Accuracy (%),Time (s)
kNN,52.94117647058824,0.376021146774292
LR,64.70588235294117,0.06600356101989746
SVM,76.47058823529412,0.25201416015625
DT,47.05882352941176,0.07900452613830566
Stacking,52.94117647058824,17.606006860733032
AdaBoost,47.05882352941176,5.748328685760498
GBDT,47.05882352941176,4.351248741149902
RF,52.94117647058824,4.204240560531616
NB,76.47058823529412,0.044002532958984375
