Model,Accuracy (%),Time (s)
kNN,91.94805194805194,135.30018949508667
LR,96.88311688311688,6.750009536743164
SVM,96.36363636363636,341.55047821998596
DT,93.76623376623377,17.240024089813232
GBDT,96.1038961038961,6702.227758169174
RF,92.46753246753246,60.596466302871704
NB,92.72727272727272,10.931625127792358
