Model,Accuracy (%),Time (s)
kNN,47.79220779220779,189.9918670654297
LR,51.16883116883116,35.398024797439575
SVM,48.311688311688314,476.5892593860626
DT,46.75324675324675,35.87205171585083
Stacking,22.07792207792208,26740.6964802742
AdaBoost,27.532467532467532,580.8412222862244
GBDT,47.79220779220779,22718.343415021896
RF,50.38961038961038,145.11730027198792
NB,35.324675324675326,21.530231475830078
